,user_id,views,level,kills,br_rank,br_mmr,ar_rank,ar_mmr,legend
775,MetaIcat,117 views,2167.0,36028.0,Apex Predator,16948.0,Bronze 4,0AP,Wraith
776,o3ooooooo,1894 views,1212.0,614.0,Apex Predator,17504.0,Bronze 4,0AP,Wraith
777,Ssinatraa,303 views,741.0,11283.0,Apex Predator,17004.0,Platinum 2,5920AP,Wraith
778,TTV_Wattsup,117 views,104.0,19.0,Apex Predator,17319.0,Bronze 4,0AP,Horizon
779,fluidsad-,833 views,2029.0,94.0,Apex Predator,16993.0,Platinum 1,6047AP,Valkyrie
780,Abbaeatskids,873 views,1306.0,16803.0,Apex Predator,17069.0,Platinum 2,5978AP,Wraith
781,TTV-DesireOCE,3064 views,1342.0,15270.0,Apex Predator,16983.0,Bronze 4,381AP,Bloodhound
782,RazrDeathAdderV2,162 views,121.0,804.0,Apex Predator,20342.0,Bronze 4,0AP,Octane
783,Xg_zluiminati-,863 views,4457.0,56152.0,Apex Predator,16969.0,Platinum 3,5200AP,Wraith
784,Prxvaii--,708 views,961.0,7783.0,Apex Predator,16968.0,Bronze 4,0AP,Bangalore
785,ZEXSGoriMachoBoy,997 views,2115.0,17552.0,Apex Predator,17119.0,Bronze 4,0AP,Lifeline
786,PxppyPlaytime,1017 views,1260.0,9913.0,Apex Predator,16793.0,Bronze 4,225AP,Horizon
787,JellieG0d,5164 views,3109.0,48790.0,Apex Predator,16953.0,Bronze 4,0AP,Pathfinder
788,Ghetto weirdo,1866 views,2483.0,46250.0,Apex Predator,16948.0,Platinum 2,5628AP,Pathfinder
789,Azhai3Down,85 views,639.0,5356.0,Apex Predator,18659.0,Diamond 3,6961AP,Bloodhound
790,XKR_zStorm,749 views,3263.0,2019.0,Apex Predator,16963.0,Bronze 4,351AP,Horizon
791,Flxinnn,523 views,776.0,8286.0,Apex Predator,19186.0,Master,8163AP,Octane
792,memespire,845 views,1375.0,13553.0,Apex Predator,18182.0,Bronze 4,0AP,Wraith
793,air-redrose,321 views,1764.0,18732.0,Apex Predator,17354.0,Bronze 4,0AP,Wraith
794,LunarSIG,285 views,1907.0,117.0,Apex Predator,16918.0,Bronze 4,0AP,Wraith
795,Yiuxxxxx,26 views,1238.0,12001.0,Apex Predator,16983.0,Bronze 4,0AP,Wraith
796,KICK_Hiarka,684 views,2202.0,28895.0,Apex Predator,16909.0,Bronze 4,0AP,Wraith
797,CritcalCondtion,153 views,1101.0,8147.0,Apex Predator,17039.0,Diamond 2,7345AP,Gibraltar
798,lin1innnn,1374 views,1491.0,18.0,Apex Predator,16899.0,Bronze 4,0AP,Pathfinder
799,Mc4_Aim,649 views,2120.0,30629.0,Apex Predator,16885.0,Bronze 4,217AP,Horizon
800,Luvvspooky,1651 views,2119.0,37002.0,Apex Predator,16785.0,Bronze 4,306AP,Horizon
801,yuxaii--,1443 views,2466.0,2352.0,Apex Predator,17723.0,Bronze 4,0AP,Horizon
802,yoAfter,245 views,2282.0,30583.0,Apex Predator,17599.0,Bronze 4,0AP,Wraith
803,chaoticbutpc,34779 views,1170.0,16993.0,Apex Predator,16879.0,Bronze 4,0AP,Pathfinder
804,SG-DaanOwnz,1147 views,2156.0,102.0,Apex Predator,16874.0,Platinum 1,6360AP,Octane
805,ZlPETH,4535 views,3391.0,75310.0,Apex Predator,16867.0,Bronze 4,0AP,Pathfinder
806,ttvanthinysucks,345 views,423.0,401.0,Apex Predator,17671.0,Bronze 4,61AP,Wraith
807,HVND_Goat,117 views,933.0,3848.0,Apex Predator,16850.0,Bronze 4,0AP,Valkyrie
808,jesssUp,250 views,1145.0,5.0,Apex Predator,17038.0,Bronze 4,0AP,Wraith
809,iSxiyajin-,1427 views,1088.0,26734.0,Apex Predator,16847.0,Bronze 4,1AP,Bangalore
810,l-MostWanted,1734 views,3895.0,86804.0,Apex Predator,16847.0,Master,9667AP,Lifeline
811,gibbyhitpathdead,1375 views,2307.0,30125.0,Apex Predator,16914.0,Master,9991AP,Horizon
812,iKoyaa,3415 views,2508.0,46604.0,Apex Predator,16837.0,Bronze 4,0AP,Wraith
813,dansyaqu,1082 views,1566.0,14525.0,Apex Predator,16836.0,Bronze 3,511AP,Octane
814,IMG_ZumachaN,530 views,2075.0,22253.0,Apex Predator,16822.0,Platinum 2,5600AP,Wraith
815,GOD_CHAOS_MASTER,2326 views,1346.0,9142.0,Apex Predator,16811.0,Platinum 4,5017AP,Bloodhound
816,thekineTV,4431 views,4827.0,103683.0,Apex Predator,16772.0,Bronze 4,0AP,Gibraltar
817,xiiraidz,837 views,3399.0,47560.0,Apex Predator,16865.0,Bronze 4,0AP,Horizon
818,Satyr567,403 views,1036.0,33.0,Apex Predator,18991.0,Gold 1,4472AP,Pathfinder
819,bili6587901WuXin,111 views,1378.0,17691.0,Apex Predator,16802.0,Bronze 4,0AP,Wraith
820,Twitch_HunselTV,2656 views,1366.0,3.0,Apex Predator,16742.0,Bronze 4,0AP,Pathfinder
821,saf_MattPickett,965 views,2273.0,37544.0,Apex Predator,16951.0,Bronze 4,0AP,Mirage
822,LDN_ToshiChan,1635 views,2637.0,24934.0,Apex Predator,17867.0,Bronze 4,0AP,Wraith
823,JohnnyMonsterFPS,611 views,1167.0,10243.0,Apex Predator,19371.0,Bronze 4,0AP,Pathfinder
824,ak_kenzo-,105 views,192.0,1788.0,Apex Predator,16912.0,Bronze 4,0AP,Pathfinder
825,Rusi12_ZZ,456 views,2292.0,20386.0,Apex Predator,18047.0,Master,8623AP,Bloodhound
826,Roar_KyKy1,134 views,2649.0,37420.0,Apex Predator,16549.0,Bronze 4,0AP,Wraith
827,Zakingst,770 views,1533.0,15515.0,Apex Predator,16988.0,Bronze 4,0AP,Pathfinder
828,PK_Hirose,1274 views,3049.0,35218.0,Apex Predator,16698.0,Bronze 4,0AP,Wraith
829,ImMarochan,246 views,1925.0,95.0,Apex Predator,16755.0,Bronze 3,686AP,Wraith
830,Sw1tchb1ades,1730 views,2705.0,23676.0,Apex Predator,17087.0,Diamond 1,7885AP,Wraith
831,proxeyy-,647 views,2116.0,15.0,Apex Predator,16743.0,Bronze 2,1198AP,Pathfinder
832,GARNiDE-Liq,140 views,1065.0,1711.0,Apex Predator,16741.0,Platinum 3,5200AP,Wraith
833,l-_-Axis-_-l,396 views,1931.0,47.0,Apex Predator,16730.0,Bronze 4,0AP,Horizon
834,Gurimon,814 views,1836.0,546.0,Apex Predator,16766.0,Platinum 3,5231AP,Horizon
835,TOR_Euriece,9050 views,3701.0,84072.0,Apex Predator,16727.0,Bronze 4,0AP,Pathfinder
836,Eredazey,585 views,1073.0,645.0,Apex Predator,16720.0,Silver 1,2802AP,Wraith
837,LastComBender,443 views,616.0,23.0,Apex Predator,17368.0,Platinum 3,5480AP,Crypto
838,KillerQueenS2i,900 views,1166.0,9414.0,Apex Predator,16636.0,Platinum 1,6069AP,Wraith
839,suxeed,751 views,1165.0,16.0,Apex Predator,16694.0,Bronze 4,0AP,Octane
840,yrvz-q-,438 views,837.0,3214.0,Apex Predator,16694.0,Platinum 4,5033AP,Wraith
841,Amphhy,1438 views,2046.0,30211.0,Apex Predator,16687.0,Bronze 4,90AP,Wraith
842,bigboyboil,1614 views,2004.0,26424.0,Apex Predator,16686.0,Platinum 3,5418AP,Wraith
843,DemiChase,1511 views,1614.0,12462.0,Apex Predator,16685.0,Bronze 4,0AP,Bloodhound
844,Kanowitz,328 views,1621.0,22518.0,Apex Predator,17523.0,Bronze 4,0AP,Wraith
845,sekaino_watabe19,916 views,987.0,4239.0,Apex Predator,16673.0,Diamond 2,7599AP,Octane
846,mini_arrow123,1990 views,2724.0,49.0,Apex Predator,16670.0,Master,8024AP,Wraith
847,horizonsmilkers,253 views,1104.0,341.0,Apex Predator,18758.0,Diamond 4,6406AP,Horizon
848,ZoTnTda,954 views,1538.0,9215.0,Apex Predator,18010.0,Bronze 4,0AP,Wraith
849,PGuytHGUJ,33 views,423.0,2231.0,Apex Predator,16662.0,Gold 3,3600AP,Wraith
850,xxgold-roger,1412 views,2544.0,60.0,Apex Predator,16349.0,Bronze 4,0AP,Lifeline
851,TAR9ET,1433 views,2594.0,106.0,Apex Predator,17667.0,Bronze 4,0AP,Wraith
852,J-Ritt,84 views,1563.0,14052.0,Apex Predator,16792.0,Bronze 4,0AP,Octane
853,jamss_jp,354 views,1961.0,30630.0,Apex Predator,16638.0,Bronze 4,0AP,Pathfinder
854,Ctrl_Something,4646 views,2511.0,22749.0,Apex Predator,16633.0,Platinum 2,5600AP,Wraith
855,RennesTW,865 views,1527.0,9501.0,Apex Predator,16569.0,Bronze 4,0AP,Lifeline
856,MattxxxBzVI,508 views,605.0,322.0,Apex Predator,16914.0,Bronze 4,0AP,Horizon
857,iStorXzi,851 views,2528.0,18.0,Apex Predator,16611.0,Bronze 4,0AP,Wraith
858,norguasanow-_-,1628 views,3203.0,135.0,Apex Predator,16609.0,Gold 3,3740AP,Lifeline
859,6spygoka9,49 views,438.0,0.0,Apex Predator,18625.0,Bronze 4,0AP,Horizon
860,AVzHuoAiBird,149 views,507.0,802.0,Apex Predator,16572.0,Bronze 4,0AP,Horizon
861,aaagoaaaa,580 views,1155.0,0.0,Apex Predator,16601.0,Silver 3,2151AP,Pathfinder
862,ThePapiTV,464 views,1243.0,2289.0,Apex Predator,16983.0,Bronze 4,0AP,Loba
863,zxcboqwe,13 views,124.0,828.0,Apex Predator,16582.0,Bronze 4,0AP,Mad Maggie
